Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,xcoord,ycoord
Celebdil,Mountain,,Silvertine,Silvertine,,Celebdil,Zirakzigil,,,1021751.498,1925026085,Mountains_of_Moria,,3652882.14,2615974.08
Caradhras,Mountain,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,206272.7846,740966016.1,Mountains_of_Moria,,3594621.87,2611680.90
Fanuidhol,Mountain,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,294495.0403,1523281703,Mountains_of_Moria,,3669642.39,2577349.12
Caradhras,Mountain,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,221891.8394,904526360.1,Mountains_of_Moria,,3627867.63,2649147.10
Fanuidhol,Mountain,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,289319.6321,1003501385,Mountains_of_Moria,,3703547.52,2616437.16
Dead Marshes,Wetland,Dead faces,Dead Marshes,,,,,,,283064.9457,2601027941,,,3996002.51,2213257.73
Swanfleet,Marsh,Swans,Swanfleet,,,"Nîn-in-Eilph (""water-lands of the Swans"")",,,,132608.0816,1029769580,,,3299324.43,2467758.71
Rushock Bog,Swamp,,Rushock Bog,,,,,,Ryscuc (Old Hobbitish),25364.75091,42011783.17,,,3054971.98,2738320.18
Overbourn Marshes,Marsh,,Overbourn Marshes,,,,,,,97889.46284,493316931.4,,,3116280.59,2667984.47
Nindalf,Swamp,None,"""wet flat field""",Wetwang,,Nindalf,,,,327250.7432,4034835096,,,3934007.47,2143439.75
Midgewater Marshes,Marsh,None,Midgewater Marshes,,,,,,,97605.8763,503358492.6,,,3228195.53,2741901.05
Marish,Bog,Stoors (Hobbits),Marish,,,,,,,41502.88439,40544878.05,,,3121266.33,2702588.32
Long Marshes,Marsh,,Long Marshes,,,,,,,107605.4822,422590336.7,,,4049432.82,2863275.83
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.0576,705004008.2,,,3788710.82,2721505.68
Fenmark,Marsh,,Fenmark; Fenmarch,,,,,,,141350.2931,221808571.4,,,3809323.68,2108464.25
Tarlang's Neck,Pass,,Tarlang's Neck,,,,,,,75192.20729,184900080.5,,,3643601.68,2035622.56
Udûn (valley),Valley,Orcs,"""dark pit/Underworld""; ""hell""",,,Udûn,,,,190107.3821,1250446316,,,4056659.08,2111683.26
Withered Heath,Valley,Dragons,Withered Heath,,,,,,,468566.391,3438370090,,,3929965.30,3003793.18
Withered Heath,Valley,Dragons,Withered Heath,,,,,,,468566.391,3438370090,,,4033633.65,2995500.87
Cirith Gorgor,Guarded Pass,Orcs,"""pass of extreme horror""",,,Cirith Gorgor,,,,39882.80138,45566239.42,,,4052496.88,2148364.25
Carach Angren,Guarded Pass,Orcs,"""Iron-mouth""",Isenmouthe (archaic),,Carach Angren,,,,21817.1344,12797043.25,,,4069609.78,2089314.77
Cirith Ungol,Pass,"Orcs, Shelob","""Spider's Cleft""",,,Cirith Ungol; Cirith Dúath (formerly),,,,97530.34256,88587950.75,,,4056719.04,1970866.81
North Stair,Stair,Uninhabited,North Stair,,,,,,,37772.68529,9866000.81,,,3897829.21,2175338.83
High Pass,Pass,Beornings,High Pass; Pass of Imladris,,,"Cirith Forn en Andrath (""the high-climbing pass of the north"")",,,,228985.3471,169766756,,,3723724.02,2822149.11
Dimrill Stair,Pass,Caradhras,Dimrill Stair,,,,,,,8863.276187,3761022.298,,,3672256.45,2544559.53
Andrath,Defile,Black Riders,"""Long Climb""",,,Andrath,,,,316267.1591,672849104.3,,,3223178.13,2673605.26
Stonewain Valley,Valley,Gondorians,Stonewain Valley,,Nand' Ondolunkava; Ondolunkanan(do),"Nan Gondresgion; Imrath Gondraich (""Stonewain Valley"")",,Stānwægna Dæl,,93936.61341,98041683.34,,,3932871.90,2009635.89
Ringló Vale,Valley,Gondorians,Ringló Vale,,,,,,,105118.9341,92584102.03,,,3782263.76,1990360.91
Nan Curunír,Valley,Saruman,"""Saruman's Vale""",,,Nan Curunír,,,,144541.9496,1050360166,,,3495638.49,2290751.60
Morgul Vale,Valley,Orcs,"Morgul Vale; ""Deep/Narrow Valley of Black Sorcery""",,,Imlad Morgul,,,,81271.27952,58037173.85,,,4044011.83,1973722.29
Tumladen (Gondor),Valley,Gondorians,"""Valley of Smoothness""",,,Tumladen,,,,103883.1925,122287107.9,,,3883075.52,1926071.38
Imloth Melui,Valley,Gondorians,"""sweet flower-valley""",,,Imloth Melui,,,,347954.8312,586143817.7,,,3933833.40,1894120.59
Harrowdale,Valley,Rohirrim,Harrowdale,,,,,,,55617.68622,37099426.51,,,3580342.73,2127469.31
Entwash Vale,Valley,Rohirrim,Entwash Vale,,,,,,,248906.8652,469792128.5,,,3790250.93,2132439.05
Dwimorberg glen,Glen,Uninhabited,,,,,,,,1904.227546,252439.4954,,,3579884.87,2116551.11
Dimrill Dale,Valley,Uninhabited,Dimrill Dale,,,Nanduhirion,Azanulbizar,,,12182.26265,6059189.18,,,3674008.98,2539338.75
Deeping-coomb,Valley,Rohirrim,Deeping-coomb,,,,,,,13146.23422,7577270.44,,,3495126.67,2200340.78
Blackroot Vale,Valley,Gondorians,Blackroot Vale,,,"Mornan (""dark valley"")",,,,169360.2973,296234842.1,,,3574768.29,2044896.72
Water-valley,Valley,Hobbits,Water-valley,,,,,,,184443.7455,446399966.6,,,3098559.60,2728673.86
Paths of the Dead,Pass,Dead Men,Paths of the Dead,,,,,,,130750.9093,63589380.09,,,3581974.06,2087262.93
Anduin,,,Great River; Great River of Wilderland,,,Anduin,,Langflood,,1398387.204,,Rivers,,3863552.87,2359092.24
Baranduin,,,Brandywine,"Branda-nîn (Hobbitish Westron; ""border water""); Bralda-hîm (""heady ale"")",,"Baranduin (""golden-brown river"")",,,,674476.1696,,Rivers,,3075215.85,2626451.43
Bruinen,,,Loudwater,,,Bruinen,,,,418822.2167,,Rivers,,3551347.41,2712460.00
Carnen,,,Redwater,,,Carnen,,,,198801.554,,Rivers,,4231351.37,2802945.08
Nimrodel (river),,,,,,Nimrodel,,,,69776.28009,,Rivers,,3663644.29,2495001.73
Celebrant,,,Silverlode,,,Celebrant,Kibil-nâla,,,119707.4981,,Rivers,,3703914.27,2512499.90
Ciril,,,,,,,,,Ciril/Kiril (unknown origin),131445.5302,,Rivers,,3655694.33,1971285.13
Enchanted River,,,Enchanted River,,,Gûlduin; Gûlhir,,,,126788.0028,,Rivers,,3983607.97,2826447.96
Erui,,,"""single/alone""",,,Erui,,,,107114.0366,,Rivers,,3935357.34,1900321.01
Gilrain,,,"""spark wander/stray""",,,Gilrain,,,,179960.8552,,Rivers,,3778224.47,1912894.11
Glanduin,,,"""Border river""; Swanfleet river",,,Glanduin,,,,264312.8199,,Rivers,,3402527.15,2448482.74
Greylin,,,"""the noisy one""",,,,,Greylin?,,78547.1184,,Rivers,,3769905.54,2967192.90
Gwathló,,,Greyflood,,,"Gwathló (""Shadowy river from the fens""); Gwathir (""River of Shadow"")",,,,450028.2497,,Rivers,,3256362.47,2441525.80
Harnen,,,"""South Water""",,,Harnen,,,,227125.0322,,Rivers,,4166197.19,1587513.65
Hoarwell,,,"Hoarwell; ""grey spring""",,,"Mitheithel (""grey spring"")",,,,404559.5298,,Rivers,,3481680.12,2776804.80
Langwell,,,Langwell,,,,,Langwell?,,87380.00087,,Rivers,,3724056.39,2946710.17
Lefnui,,,"""fifth""",,,Lefnui,,,,427946.7413,,Rivers,,3271048.04,1966716.68
Lhûn,,,,Lune,,"Lhûn (not valid Sindarin); Sîr Luin (""Blue River"")",,,"Lhûn (Noldorin, ""Blue"")",381987.7797,,Rivers,,2914412.41,2947008.71
Limlight,,,Limlight,,,,,,Limlaith; Limlich; Limliht; Limhîr,238665.0932,,Rivers,,3698982.35,2414242.13
Little Lune,,,Little Lune,,,,,,,88379.23359,,Rivers,,2863955.13,3020529.45
Morgulduin,,,"""black magic river""",,,Morgulduin,,,,89356.74838,,Rivers,,4021458.11,1975249.91
Morthond,,,Blackroot,,,Morthond,,,,265595.0785,,Rivers,,3559381.48,1989606.36
Norbourn,,,Norbourn,,,,,,,45521.60476,,Rivers,,3087048.21,2746514.74
Poros,,,,,,,,,Poros (unknown),210303.78,,Rivers,,3948657.74,1761338.53
Rhimdath,,,Rushdown,,,,,,Rhimdath (Noldorin),54768.09671,,Rivers,,3770757.34,2860208.27
Ringló,,,"""cold fenland""",,,Ringló,,,,281073.4353,,Rivers,,3690885.35,1946555.85
River Running,,,River Running,,,Celduin,,,,627965.5899,,Rivers,,4239171.40,2714954.03
Serni,,,"""stony""",,,Serni,,,,190704.4925,,Rivers,,3808627.17,1863237.81
Shirebourn,,,"Shirebourn; ""River of the Shire""; ""Bright-stream""",,,,,,Scirburna (Old Hobbitish),71531.90543,,Rivers,,3096701.61,2680237.31
Sirith,,,"""a flowing""",,,Sirith,,,,149353.0744,,Rivers,,3882170.56,1897585.16
Celos,,,"""flow out swiftly""",,,Celos,,,,84260.60051,,Rivers,,3857286.28,1945172.18
The Water,,,The Water; the Shire-water,,,,,,,135313.3452,,Rivers,,3074876.14,2738408.58
Withywindle,,,"Withywindle; ""willow spindle/reel""",,,,,,Withigwindel (Old Hobbitish),51812.54175,,Rivers,,3143268.25,2689902.56
Adorn,,,,,,,,,Adorn (pre-Númenórean origin),212357.3848,,Rivers,,3385547.16,2150935.92
Entwash,,,Entwash,,,Onodló,,Entwaesc,,713000.365,,Rivers,,3758538.51,2177900.61
Isen,,,"""Iron""",,,"Sîr Angren (""iron river"")",,Isen,,499981.7066,,Rivers,,3335529.26,2201380.85
Mering Stream,,,"""Boundary stream""",,,Glanhír,,Mering [Stream],,101208.251,,Rivers,,3798845.39,2097261.53
Snowbourn,,,Snowbourn,,,,,Snāwburna,,127086.4516,,Rivers,,3623646.74,2146174.31
Deeping-stream,,,Deeping-stream,,,,,,,197406.0873,,Rivers,,3579471.46,2214667.34
Sirannon,,,Gate Stream,,,Sirannon,,,,236928.974,,Rivers,,3521468.94,2496248.31
Stock-brook,,,"Stock-brook; ""the brook running through Stock""",,,,,,Se Stocbroc (Old Hobbitish),26023.27176,,Rivers,,3119155.51,2704558.00
Thistle Brook,,,Thistle Brook,,,,,,,29114.99211,,Rivers,,3096470.66,2682733.26
Forest River,,,Forest River,,,,,,,328204.0626,,Rivers,,3946801.81,2903616.43
Gladden River,,,Gladden River,,,"Sîr Ninglor (""River Goldwater"")",,,,146156.2372,,Rivers,,3723473.08,2714227.37
Great East Road,Major road,,East Road; East-West Road; Great East Road; Old Road,,,,,,,930327.5078,,Roads,East Road,3343871.90,2744545.61
The Greenway,Road,,Greenway; North-South Road; Great Road; Royal Road,,,,,,,259735.4345,,Roads,Greenway,3102510.71,2608816.72
North-South Road,Major road,,North-South Road; Great Road; Royal Road; Greenway; Old South Road; Great West Road; South Road,,,,,,,1448653.985,,Roads,North-South Road,3548167.04,2245658.31
Great West Road,Road,,Great West Road,,,,,,,640238.5579,,Roads,Great West Road,3727401.06,2097200.09
South Road,Road,,South Road; North-South Road; Great Road; Royal Road,,,,,,,148164.4348,,Roads,South Road,3927758.96,1893987.49
Morgul Road,Road,,Morgul Road,,,,,,,317890.9981,,Roads,Morgul Road,4057804.18,2028342.91
Gorgoroth Road,Road,,Gorgoroth Road,,,,,,,248892.7537,,Roads,Gorgoroth Road,4127526.89,2041910.20
Harad Road,Road,,Harad Road,,,,,,,631533.3072,,Roads,Harad Road,4008623.05,1693136.54
Sauron's Road,Road,,Sauron's Road,,,,,,,49231.85173,,Roads,Sauron's Road,4142487.15,2030873.99
Bywater Road,Road,,Bywater Road,,,,,,,93605.80794,,Roads,Bywater Road,3042352.27,2725947.15
Causeway,Road,,Causeway,,,,,,,44817.56715,,Roads,Causeway,3124191.62,2706334.05
Bagshot Row,Road,,Bagshot Row; New Row,,,,,,,8095.469894,,Roads,Bagshot Row,3075407.51,2730387.04
Elf-path,Pathway,,Elf-path,,,,,,,240598.1239,,Roads,Elf-path,3923476.65,2859403.68
Stock Road,Road,,Stock Road,,,,,,,71469.68395,,Roads,Stock Road,3095885.11,2708748.36
Northway,Road,,Northway,,,,,,,51718.95803,,Roads,Northway,3097494.50,2746353.82
unnamed road durthang-morgul pass,Road,,Morgul Road,,,,,,,120865.8541,,Roads,Morgul Road,4050948.90,2038018.13
Dimrill Stair,Pass,,Dimrill Stair,,,,,,,7080.706969,,Roads,Dimrill Stair,3671873.52,2542953.63
Ferry Lane,Road,,Ferry Lane,,,,,,,1840.171431,,Roads,Ferry Lane,3125280.88,2705762.53
Gateway,Road,,Gateway,,,,,,,203.3057629,,Roads,Gateway,3958031.57,1953211.85
Old Forest Road,Road,,Old Forest Road; Forest Road,,,"Men-i-Naugrim (""Road of the Dwarves"")",,,,373682.1419,,Roads,Old Forest Road,3947520.47,2767420.11
South Lane,Lane,,South Lane,,,,,,,391.6197888,,Roads,South Lane,3079618.26,2726194.51
Hill Road,Road,,Hill Road,,,,,,,13805.16113,,Roads,Hill Road,3079432.45,2732037.29
Hobbiton Road,Road,,Hobbiton Road,,,,,,,4683.69191,,Roads,Hobbiton Road,3080061.61,2726165.12
Deeping-road,Road,,Deeping-road,,,,,,,48782.71209,,Roads,Deeping-road,3482056.51,2194289.39
Paths of the Dead,Pass,,Paths of the Dead; Dwimorberg Pass,,,,,,,64197.87406,,Roads,Paths of the Dead,3581516.19,2088832.30
Unnamed Gondor road,Road,,South Road; North-South Road; Great Road; Royal Road,,,,,,,590052.5756,,Roads,South Road,3761219.32,1884027.60
Causeway,Road,,South Road; North-South Road; Great Road; Royal Road,,,,,,,28097.72742,,Roads,South Road,3974812.36,1961797.64
Lampwrights' Street,Street,,Lampwrights' Street,,,Rath Celerdain,,,,1491.441727,,Roads,Lampwrights' Street,3957364.41,1952733.84
Old South Road,Road,,Old South Road; North-South Road; Great Road; Royal Road,,,,,,,324966.6027,,Roads,Old South Road,3381661.71,2344862.26
Rath Dínen,Street,,"""Silent Street""",,,Rath Dínen,,,,560.5745419,,Roads,Rath Dínen,3954905.54,1953631.46
Stair of the Hold,Road,,Stair of the Hold,,,,,,,4580.856166,,Roads,Stair of the Hold,3579408.52,2121928.16
Straight Stair,Stair,,Straight Stair; Stairs of Cirith Ungol,,,,,,,18409.5532,,Roads,Straight Stair,4047526.65,1985322.46
Winding Stair,Stair,,Winding Stair; Stairs of Cirith Ungol,,,,,,,20251.03138,,Roads,Winding Stair,4063953.62,1986493.78
Under-way,Passage,,Under-way,,,,,,,729.4689599,,Roads,Under-way,4070666.34,1988100.27
Southward Road,Road,,Southward Road,,,,,,,197260.4431,,Roads,Southward Road,4018246.38,2077541.62
unnamed Shire road through Longbottom,,,,,,,,,,63293.57644,,Roads,,3063870.71,2646895.48
unnamed Shire road to Pincup,,,,,,,,,,55478.46134,,Roads,,3069890.04,2671731.53
unnamed Shire road,,,,,,,,,,49845.71721,,Roads,,3116625.68,2743774.52
unnamed Shire road to Tookbank,,,,,,,,,,7331.070655,,Roads,,3053946.14,2703340.28
unnamed Shire road,,,,,,,,,,35686.99922,,Roads,,3117518.00,2755632.41
unnamed Shire road,,,,,,,,,,58165.07302,,Roads,,3067365.53,2760107.65
unnamed Shire road,,,,,,,,,,92146.51908,,Roads,,2989148.13,2732134.00
unnamed Shire road,,,,,,,,,,37003.89141,,Roads,,3038077.68,2714495.36
unnamed Shire road,,,,,,,,,,24904.08643,,Roads,,3036187.83,2733954.17
unnamed Shire road,,,,,,,,,,49743.9585,,Roads,,3023308.44,2750573.11
unnamed Shire road,,,,,,,,,,78031.574,,Roads,,3057680.04,2794121.24
unnamed Shire road,,,,,,,,,,40058.70342,,Roads,,3092828.33,2791267.21
unnamed Shire road,,,,,,,,,,31572.16363,,Roads,,3017960.91,2730587.87
unnamed Shire road,,,,,,,,,,17483.10512,,Roads,,3110826.92,2681705.49
City Wall,Wall,,City Wall,,,Othram,,,,12847.17302,,Walls,,3956071.85,1953385.54
Deeping Wall,Wall,,Deeping Wall,,,,,,,72.90251418,,Walls,,3494071.88,2199939.72
Helm's Dike,Wall,,Helm's Dike,,,,,,,1624.156391,,Walls,,3494347.31,2199980.69
High Hay,Hedge,,High Hay; The Hedge,,,,,,,53756.06853,,Walls,,3134089.70,2704552.49
Rammas Echor,Wall,,"""Great-wall Circle""",,,Rammas Echor; the Rammas,,,,60165.4848,,Walls,,3965333.26,1960769.24
Ring of Isengard,Wall,,Ring of Isengard,,,,,,,16276.9955,,Walls,,3490341.00,2297164.08
Brandywine Bridge,,,Brandywine Bridge; Bridge of Stonebows,,,i Varanduiniant,,,,,,Bridges,,3136528.02,2726530.95
Bridge of Khazad-dûm,,,Bridge of Khazad-dûm; Durin's Bridge,,,,,,,,,Bridges,,3670861.11,2546448.49
Bridge of Nimrodel,,,Bridge of Nimrodel,,,,,,,,,Bridges,,3686834.74,2503844.99
Bridge of Tharbad,,,Bridge of Tharbad,,,,,,,,,Bridges,,3264987.52,2444617.01
Ethring,,,"""across [the Ringló river]""",,,Ethring,,,,,,Bridges,,3690667.67,1937242.17
Last Bridge,,,Last Bridge,,,,,,,,,Bridges,,3444604.68,2731893.35
Bag End,Building,"Bilbo, Frodo, Hobbits",Bag End,Laban-neg; Labin-nec,,,,,,,,Buildings,,3071612.31,2731342.71
White Towers,Tower,Elves,White Towers,,,,,,,,,Buildings,,2896165.37,2719423.85
All-Welcome Inn,Inn,Hobbits,All-Welcome Inn,,,,,,,,,Buildings,,3097472.18,2721940.63
Elostirion,Tower,Elves,,,,Elostirion,,,,,,Buildings,,2888358.44,2716728.59
Bridge Inn,Inn,Hobbits,Bridge Inn,,,,,,,,,Buildings,,3134388.61,2725969.90
Green Dragon,Inn,Hobbits,Green Dragon,,,,,,,,,Buildings,,3082041.32,2725261.16
The Floating Log,Inn,Hobbits,The Floating Log,,,,,,,,,Buildings,,3104990.54,2723842.03
The Golden Perch,Inn,Hobbits,The Golden Perch,,,,,,,,,Buildings,,3126436.20,2711240.39
The Prancing Pony,Inn,"Bree-men, Hobbits, Barliman Butterbur, Nob, Bob",The Prancing Pony,,,,,,,,,Buildings,,3192523.94,2733920.99
Barad-dûr,Tower,"Sauron, Nazgûl, Orcs","""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),,,Buildings,,4159292.48,2047241.57
Durin's Tower,Tower,Dwarves (originally); uninhabited (during the War of the Ring),Durin's Tower,,,,,,,,,Buildings,,3597794.10,2517370.05
Orthanc,Tower,"Dúnedain, Gondorians, Saruman (during the War of the Ring)","""Mount Fang"" (Sindarin); ""Cunning Mind"" (Old English/Rohirric)",,,Orthanc,,Orthanc,,,,Buildings,,3490290.59,2297063.86
Narchost,Tower,Gondorians (originally); forces of Sauron (during the War of the Ring),"""bitter-biting fort""",,,Narchost,,,,,,Buildings,,4048715.77,2156156.91
Carchost,Tower,Gondorians (originally); forces of Sauron (during the War of the Ring),"""fang fort""",,,Carchost,,,,,,Buildings,,4054462.76,2156397.85
Tower of Cirith Ungol,Tower,Gondorians (originally); forces of Sauron (during the War of the Ring),"""Spider's cleft""",,,Cirith Ungol,,,,,,Buildings,,4071018.37,1988072.42
Tower of Ecthelion,Tower,Gondorians,Tower of Ectelion; White Tower; Tower of Denthor,,,,,,,,,Buildings,,3956292.94,1953692.73
Beorn's Hall,Building,Beorn (Man),Beorn's Hall,,,,,,,,,Buildings,,3818858.32,2821650.75
Brandy Hall,Building,Hobbits,Brandy Hall,,,,,,,,,Buildings,,3134628.64,2708285.02
Chamber of Mazarbul,Building,Balin; Dwarves; uninhabited during the War of the Ring,"Chamber of ""records""",,,,Chamber of Mazarbul,,,,,Buildings,,3638291.02,2583908.71
Cracks of Doom,Building,Sauron,Cracks of Doom,,,Sammath Naur,,,,,,Buildings,,4141664.54,2031961.89
Dome of Stars,Building,Gondorians,Dome of Stars,,,,,,,,,Buildings,,3988161.06,1965615.25
Durthang,Building,Gondorians (originally); Orcs (during the War of the Ring),"""Dark oppression""",,,Durthang,,,,,,Buildings,,4028880.52,2088051.43
Elvenking's Halls,Building,Silvan Elves,Elvenking's Halls,,,,,,,,,Buildings,,4015399.53,2875579.66
Endless Stair,Building,Uninhabited during the War of the Ring,Endless Stair,,,,,,,,,Buildings,,3638226.31,2584105.31
Ent-houses,Building,Ents,Ent-houses,,,,,,,,,Buildings,,3558735.25,2310644.37
First Hall,Building,Dwarves (originally); Uninhabited during the War of the Ring,First Hall,,,,,,,,,Buildings,,3671059.32,2546377.96
Great Chamber of Thrór,Building,Dwarves; Smaug,Great Chamber of Thrór,,,,,,,,,Buildings,,4055207.47,2901526.86
Great Hall of Feasts,Building,Gondorians,Great Hall of Feasts,,,Merethrond,,,,,,Buildings,,3956282.00,1953855.67
Great Hall of Osgiliath,Building,Gondorians,Great Hall of Osgiliath,,,,,,,,,Buildings,,3987876.41,1966603.26
Great Hall of Thráin,Building,Dwarves; Smaug,Great Hall of Thráin,,,,,,,,,Buildings,,4050356.66,2907023.13
Great House,Building,Men,Great House,,,,,,,,,Buildings,,4080447.78,2846437.39
Great Smials,Building,Took family (Hobbits),Great Smials,,,,,,,,,Buildings,,3064413.24,2703624.90
Hall of Fire,Building,Elrond,Hall of Fire,,,,,,,,,Buildings,,3640417.83,2784922.97
The Forsaken Inn,Inn,"(Abandoned) Bree-men, Hobbits",The Forsaken Inn,,,,,,,,,Buildings,,3215796.34,2730340.32
Ivy Bush,Inn,Hobbits,Ivy Bush,,,,,,,,,Buildings,,3082041.32,2725261.16
Sea-ward Tower,Tower,Gondorians,Sea-ward Tower,,,Tirith Aear,,,,,,Buildings,,3553798.01,1851822.93
Dol Guldur,Building,"Sauron, forces of Sauron, Khamûl","""Hill of Sorcery""",,,Dol Guldur,,,,,,Buildings,,3868943.85,2532517.84
Grimslade,Building,"Rohirrim, Grimbold",Grimslade,,,,,Grimslaed,,,,Buildings,,3502389.84,2186859.65
House of the Mírdain,Building,"Noldor, Celebrimbor","House of the ""Jewel-smiths""",,,[House of the] Mírdain,,,,,,Buildings,,3425091.67,2454631.75
Houses of Healing,Building,Gondorians,Houses of Healing,,,,,,,,,Buildings,,3956046.20,1953304.31
Huts of the raft-elves,Building,Raft-elves,Huts of the raft-elves,,,,,,,,,Buildings,,4021255.76,2871005.58
King's House,Building,Gondorian Kings (originally); uninhabited during the War of the Ring,King's House,,,,,,,,,Buildings,,3988044.15,1966585.34
Lockholes,Building,Hobbits,Lockholes,,,,,,,,,Buildings,,3005630.41,2697701.90
Mathom-house,Building,Hobbits,Mathom-house,"kast (""mathom"") [house]",,,,,,,,Buildings,,3005630.41,2697701.90
Meduseld,Building,Rohirrim,"Golden Hall; ""Mead Hall""/""hall of feasts""",,,,,Meduseld,,,,Buildings,,3578535.59,2136575.68
Old Grange,Building,Hobbits,Old Grange,,,,,,,,,Buildings,,3079310.84,2730774.06
Old Mill,Building,Hobbits,Old Mill,,,,,,,,,Buildings,,3079846.17,2730761.63
Rhosgobel,Building,Radagast (Maia/Wizard),"""russet village or 'town' (enclosure)""",,,Rhosgobel,,,,,,Buildings,,3842624.06,2805729.80
Second Hall,Building,Dwarves (originally); Uninhabited during the War of the Ring,Second Hall,,,,,,,,,Buildings,,3658669.48,2563098.46
Shirriff-house,Building,Hobbits,Shirriff-house,,,,,,,,,Buildings,,3104990.54,2723842.03
Tower Hall,Building,Gondorians,Tower Hall,,,,,,,,,Buildings,,3956303.52,1953734.42
Town Hole,Building,"Hobbits, mayor of Michel Delving",Town Hole,,,,,,,,,Buildings,,3005630.41,2697701.90
Twenty-first Hall,Building,Dwarves (originally); Uninhabited during the War of the Ring,Twenty-first Hall,,,,,,,,,Buildings,,3638482.84,2583302.16
Two Watchers,Building,Forces of Sauron,Two Watchers,,,,,,,,,Buildings,,4071858.58,1988372.00
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3766689.68,2064413.02
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3820267.38,2058735.58
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3837003.18,2042877.86
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3864651.33,2030755.83
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3894178.89,2020013.73
Wellinghall,Building,"Ents, Treebeard","""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,,,Buildings,,3546277.56,2331799.35
Withy-weir,Building,,Withy-weir,,,,,,,,,Buildings,,3141125.99,2687387.05
White Towers,Tower,Elves,White Towers,,,,,,,,,Buildings,,2895744.13,2713070.66
Old Guesthouse,Inn,Gondorians,Old Guesthouse,,,Sennas laur,,,,,,Buildings,,3956761.64,1952297.76
Black Pits,Building,"	Sauron, Nazgûl, Orcs",Black Pits,,,,,,,,,Buildings,,4159229.06,2047307.72
Eagle's Eyrie,Eyrie,Eagles,Eagle's Eyrie,,,,,,,,,Buildings,,3758206.62,2838328.67
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3926642.67,2017738.55
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3954957.34,2009311.49
Brockenbores,,,"Brockenbores; Brockenborings; ""badger-burrowings""",,,,,,,,,Cave_entrances,,3108919.08,2750970.38
Front Porch,,,Front Porch,,,,,,,,,Cave_entrances,,3702268.91,2822508.79
Glittering Caves,,,"Glittering Caves; ""caves of glory""; ""Caverns of Helm's Deep""",,,"Aglarond (""caves of glory"")",,"Glæmscrafu (""Caverms of Helm's Deep"")",,,,Cave_entrances,,3492295.16,2200152.51
Henneth Annûn,,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,Cave_entrances,,3989860.32,2043698.65
Shelob's Lair,,,Shelob's Lair,,,"Torech Ungol (""tunnel of the spider"")",,,,,,Cave_entrances,,4069869.29,1988146.93
Troll's Cave,,,Troll's Cave,,,,,,,,,Cave_entrances,,3581354.00,2752489.14
Wellinghall,,,"""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,,,Cave_entrances,,3546277.56,2331799.35
Argonath,,,Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor,,,Argonath,,,,,,Doors_Gates,,3902390.40,2223226.22
Argonath,,,Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor,,,Argonath,,,,,,Doors_Gates,,3905882.90,2222908.72
Back Door,,,Back Door,,,,,,,,,Doors_Gates,,4040680.44,2907993.07
Black Gate,,,Black Gate; Gate of Mordor,,,"Morannon (""Black Gate"")",,,,,,Doors_Gates,,4052198.66,2156056.31
Buckland Gate,,,Buckland Gate; Hay Gate; North Gate,,,,,,,,,Doors_Gates,,3134801.74,2726065.20
Causeway Forts,,,Causeway Forts,,,,,,,,,Doors_Gates,,3974853.48,1961923.40
Dark Door,,,Dark Door; Gates of the Dead; Forbidden Door,,,,,,,,,Doors_Gates,,3579676.20,2116219.01
Doors of Durin,,,Doors of Durin; West-gate; West-door of Moria; Elven Door; Moria Gate,,,,,,,,,Doors_Gates,,3545477.43,2499716.80
Fen Hollen,,,"Steward's Door; Closed Door; ""shut door""",,,Fen Hollen,,,,,,Doors_Gates,,3955900.55,1953757.41
