Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,x,y
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2817811.7563462742,2531982.9873064021
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2795689.9661696325,2538595.8365899185
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2803627.8893803009,2541631.6811172329
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2790105.6885575792,2554439.1963396245
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2754431.1239621481,2610918.5519058416
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2778186.4514853507,2634234.0302058617
Blue Mountains,Range,"Dwarves (Broadbeams, Firebeards, and Longbeards)","Blue Mountains; Mountains of Lindon",[Mountains of Lune],,"Ered Luin (""Blue Mountains""); Ered Lindon (""Mountains of Lindon"")",,,Lhúndirien (Noldorin),2143983.57628000015,17079749151.60000228882,Mountains,,2855082.2822530959,2566310.9905728623
Lonely Mountain,Mountain,Durin's Folk/Longbeards (Dwarves),Lonely Mountain,,,Erebor,,,,70839.23097130000,268765748.03799998760,Mountains,,4051387.6778356177,2906644.2368188668
Amon Anwar,Mountain,Gondorian beacon-wardens,"""Hill of Awe""; ""Holy Mountain""",,,"Amon Anwar (""Hill of Awe"")",,"the Halifirien (""Holy Mountain"")",Eilenaer (pre-Númenórean Mannish),5042.72737052000,1408169.96453000000,Mountains,,3766725.4740966833,2064391.7114037196
Írensaga,Mountain,Rohirrim,"""iron-saw""",,,,,Írensaga,,58528.36154350000,146024061.23500001431,Mountains,,3588204.4195309118,2125928.8943241690
Ras Morthil,Mountain,"Possibly Druédain, possibly vacated","""dark/black horn""",,,Ras Morthil,,,,80640.37385320000,105273698.97500000894,Mountains,,3051961.1906456295,1820976.8274652951
Cûl Bîn,Mountain,,"""Little Load""",,,Cûl Bîn,,,,349009.63594499999,1308099846.35999989510,Mountains,,3617696.1286291671,1978740.6954219397
Dol Tarlang,Mountain,,"""Tarlang's Head""",,,Dol Tarlang,,,,102091.77715400000,161740075.63899999857,Mountains,,3630772.7350308574,2028013.8492556668
Cûl Veleg,Mountain,,"""Big Load""",,,Cûl Veleg,,,,156922.26425099999,459933208.67399996519,Mountains,,3621538.1325851446,2011886.1041806904
Gundabad,Mountain,Orcs,,,,,Gundabad,,,35979.23654260001,82353405.33720000088,Mountains,,3647588.4712277758,3009023.7616838617
Mindolluin,Mountain,None,Mount Mindolluin,,,"Mindolluin (""towering-head-blue"")",,,,375629.49467699998,2045226867.58999991417,Mountains,,3925693.8313888721,1966484.0144342871
Mountains of Angmar,Range,"Orcs, the Witch-king",Mountains of Angmar,,,,,,,709358.14130500006,5034958333.27000045776,Mountains,,3523199.7269145339,3050520.2233501649
Morgai,Ridge,,,,,,,,,955544.87419400003,2100675562.92000031471,Mountains,,4067702.9743683198,1936951.0881924443
Morgai,Ridge,,,,,,,,,955544.87419400003,2100675562.92000031471,Mountains,,4059066.8309532655,2036396.3816643455
Calenhad,Beacon-hill,Gondorian beacon-wardens,"""green space""",,,Calenhad,,,,36361.07882410000,60467528.10459998995,Mountains,,3816748.5531521905,2057555.7277810075
Mountains of Mirkwood,Range,"Elves (previously); Spiders and evil creatures",Mountains of Mirkwood,,,"Emyn Duir (""the Dark Mountains""); Emyn-nu-Fuin (""the Mountains of Mirkwood"")",,,,1328482.66121000005,4321728640.27999973297,Mountains,,4015861.9792076335,2777792.5806452064
Celebdil,Mountain,,Silvertine,Silvertine,,Celebdil,Zirakzigil,,,1021751.49803999998,1925026085.29999995232,Mountains_of_Moria,,3652882.1371892239,2615974.0808931850
Caradhras,Mountain,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,206272.78457799999,740966016.12300014496,Mountains_of_Moria,,3594621.8722239607,2611680.8996352120
Fanuidhol,Mountain,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,294495.04031800001,1523281703.09999990463,Mountains_of_Moria,,3669642.3949695975,2577349.1221169438
Caradhras,Mountain,Mountain is actively hostile,Redhorn,Redhorn,,Caradhras,Barazinbar/Baraz,,,221891.83937500001,904526360.13399994373,Mountains_of_Moria,,3627867.6270075152,2649147.0951985139
Fanuidhol,Mountain,,Cloudyhead,Cloudyhead,,Fanuidhol,Bundushathûr/Shathûr,,,289319.63209799997,1003501385.15999996662,Mountains_of_Moria,,3703547.5150036025,2616437.1627954524
Dead Marshes,Wetland,Dead faces,Dead Marshes,,,,,,,283064.94568100001,2601027940.98000001907,,,3996002.5104346122,2213257.7340661217
Swanfleet,Marsh,Swans,Swanfleet,,,"Nîn-in-Eilph (""water-lands of the Swans"")",,,,132608.08162300001,1029769579.63999998569,,,3299324.4338199380,2467758.7056996808
Rushock Bog,Swamp,,Rushock Bog,,,,,,Ryscuc (Old Hobbitish),25364.75091010000,42011783.16770000011,,,3054971.9807730969,2738320.1843660455
Overbourn Marshes,Marsh,,Overbourn Marshes,,,,,,,97889.46283819999,493316931.40899997950,,,3116280.5944115100,2667984.4687595461
Nindalf,Swamp,None,"""wet flat field""",Wetwang,,Nindalf,,,,327250.74319499999,4034835095.55000066757,,,3934007.4667281127,2143439.7515307846
Midgewater Marshes,Marsh,None,Midgewater Marshes,,,,,,,97605.87630480000,503358492.60400003195,,,3228195.5253965151,2741901.0500927595
Marish,Bog,Stoors (Hobbits),Marish,,,,,,,41502.88438790000,40544878.05300000310,,,3121266.3259646366,2702588.3180983211
Long Marshes,Marsh,,Long Marshes,,,,,,,107605.48218599999,422590336.69099992514,,,4049432.8227538378,2863275.8326066355
Gladden Fields,Marsh,Servants of Sauron searching for the One Ring,Gladden Fields,,,Loeg Ningloron,,,,153041.05763500000,705004008.24800002575,,,3788710.8174551842,2721505.6824261053
Fenmark,Marsh,,"Fenmark; Fenmarch",,,,,,,141350.29310700000,221808571.39899998903,,,3809323.6767080105,2108464.2546822033
Tarlang's Neck,Pass,,Tarlang's Neck,,,,,,,75192.20728520000,184900080.47400000691,,,3643601.6754605630,2035622.5632633225
Udûn (valley),Valley,Orcs,"""dark pit/Underworld""; ""hell""",,,Udûn,,,,190107.38208499999,1250446315.74000000954,,,4056659.0780643718,2111683.2649743874
Withered Heath,Valley,Dragons,Withered Heath,,,,,,,468566.39095899998,3438370089.61999988556,,,3929965.2965648342,3003793.1837727376
Withered Heath,Valley,Dragons,Withered Heath,,,,,,,468566.39095899998,3438370089.61999988556,,,4033633.6539503536,2995500.8745616158
Cirith Gorgor,Guarded Pass,Orcs,"""pass of extreme horror""",,,Cirith Gorgor,,,,39882.80137850000,45566239.41550000012,,,4052496.8757599695,2148364.2468085350
Carach Angren,Guarded Pass,Orcs,"""Iron-mouth""",Isenmouthe (archaic),,Carach Angren,,,,21817.13439860000,12797043.24709999934,,,4069609.7803597855,2089314.7727927873
Cirith Ungol,Pass,"Orcs, Shelob","""Spider's Cleft""",,,"Cirith Ungol; Cirith Dúath (formerly)",,,,97530.34255570000,88587950.74609999359,,,4056719.0423559113,1970866.8117175251
North Stair,Stair,Uninhabited,North Stair,,,,,,,37772.68529180000,9866000.80976000056,,,3897829.2126823678,2175338.8300089226
High Pass,Pass,Beornings,"High Pass; Pass of Imladris",,,"Cirith Forn en Andrath (""the high-climbing pass of the north"")",,,,228985.34707799999,169766756.02399998903,,,3723724.0199418687,2822149.1105082990
Dimrill Stair,Pass,Caradhras,Dimrill Stair,,,,,,,8863.27618700000,3761022.29804999987,,,3672256.4498783951,2544559.5333409086
Andrath,Defile,Black Riders,"""Long Climb""",,,Andrath,,,,316267.15913300001,672849104.29499995708,,,3223178.1271552281,2673605.2637417368
Stonewain Valley,Valley,Gondorians,Stonewain Valley,,"Nand' Ondolunkava; Ondolunkanan(do)","Nan Gondresgion; Imrath Gondraich (""Stonewain Valley"")",,Stānwægna Dæl,,93936.61340720000,98041683.34420001507,,,3932871.8951683287,2009635.8920997109
Ringló Vale,Valley,Gondorians,Ringló Vale,,,,,,,105118.93406400000,92584102.02799999714,,,3782263.7569293631,1990360.9084992371
Nan Curunír,Valley,Saruman,"""Saruman's Vale""",,,Nan Curunír,,,,144541.94957400000,1050360166.25000000000,,,3495638.4903692184,2290751.5990861920
Morgul Vale,Valley,Orcs,"Morgul Vale; ""Deep/Narrow Valley of Black Sorcery""",,,Imlad Morgul,,,,81271.27951840000,58037173.84929999709,,,4044011.8336292184,1973722.2867300983
Tumladen (Gondor),Valley,Gondorians,"""Valley of Smoothness""",,,Tumladen,,,,103883.19248600000,122287107.91799999774,,,3883075.5190939358,1926071.3845801095
Imloth Melui,Valley,Gondorians,"""sweet flower-valley""",,,Imloth Melui,,,,347954.83123200003,586143817.74899995327,,,3933833.3970840327,1894120.5912449143
Harrowdale,Valley,Rohirrim,Harrowdale,,,,,,,55617.68621740000,37099426.51349999756,,,3580342.7292272956,2127469.3129603746
Entwash Vale,Valley,Rohirrim,Entwash Vale,,,,,,,248906.86523800000,469792128.52899998426,,,3790250.9328801841,2132439.0463008131
Dwimorberg glen,Glen,Uninhabited,,,,,,,,1904.22754572000,252439.49535000001,,,3579884.8699646681,2116551.1053693681
Dimrill Dale,Valley,Uninhabited,Dimrill Dale,,,Nanduhirion,Azanulbizar,,,12182.26264690000,6059189.17975999974,,,3674008.9781923522,2539338.7483991603
Deeping-coomb,Valley,Rohirrim,Deeping-coomb,,,,,,,13146.23421590000,7577270.43953999970,,,3495126.6704642763,2200340.7823992348
Blackroot Vale,Valley,Gondorians,Blackroot Vale,,,"Mornan (""dark valley"")",,,,169360.29725599999,296234842.14300000668,,,3574768.2872894499,2044896.7161264203
Water-valley,Valley,Hobbits,Water-valley,,,,,,,184443.74552800000,446399966.56900000572,,,3098559.5997989750,2728673.8556577964
Paths of the Dead,Pass,Dead Men,Paths of the Dead,,,,,,,130750.90933100000,63589380.08990000188,,,3581974.0591616430,2087262.9299317445
Anduin,,,"Great River; Great River of Wilderland",,,Anduin,,Langflood,,1398387.20405000006,,Rivers,,3863552.8734884304,2359092.2443350535
Baranduin,,,Brandywine,"Branda-nîn (Hobbitish Westron; ""border water""); Bralda-hîm (""heady ale"")",,"Baranduin (""golden-brown river"")",,,,674476.16962700000,,Rivers,,3075215.8494579005,2626451.4327400820
Bruinen,,,Loudwater,,,Bruinen,,,,418822.21669799997,,Rivers,,3551347.4118722240,2712459.9991072444
Carnen,,,Redwater,,,Carnen,,,,198801.55395100001,,Rivers,,4231351.3743636105,2802945.0828497442
Nimrodel (river),,,,,,Nimrodel,,,,69776.28008890002,,Rivers,,3663644.2867888934,2495001.7270063409
Celebrant,,,Silverlode,,,Celebrant,Kibil-nâla,,,119707.49805100000,,Rivers,,3703914.2718492481,2512499.9040729748
Ciril,,,,,,,,,Ciril/Kiril (unknown origin),131445.53023000000,,Rivers,,3655694.3322732584,1971285.1257930489
Enchanted River,,,Enchanted River,,,"Gûlduin; Gûlhir",,,,126788.00281999999,,Rivers,,3983607.9722370282,2826447.9607675560
Erui,,,"""single/alone""",,,Erui,,,,107114.03655600001,,Rivers,,3935357.3354540742,1900321.0132344407
Gilrain,,,"""spark wander/stray""",,,Gilrain,,,,179960.85518399999,,Rivers,,3778224.4667625166,1912894.1095979752
Glanduin,,,"""Border river""; Swanfleet river",,,Glanduin,,,,264312.81990599999,,Rivers,,3402527.1537170517,2448482.7358924765
Greylin,,,"""the noisy one""",,,,,Greylin?,,78547.11840150000,,Rivers,,3769905.5427344935,2967192.9021964003
Gwathló,,,Greyflood,,,"Gwathló (""Shadowy river from the fens""); Gwathir (""River of Shadow"")",,,,450028.24966099998,,Rivers,,3256362.4696607674,2441525.8001919477
Harnen,,,"""South Water""",,,Harnen,,,,227125.03215799999,,Rivers,,4166197.1931855320,1587513.6535206202
Hoarwell,,,"Hoarwell; ""grey spring""",,,"Mitheithel (""grey spring"")",,,,404559.52984300000,,Rivers,,3481680.1167936525,2776804.7950572106
Langwell,,,Langwell,,,,,Langwell?,,87380.00087220002,,Rivers,,3724056.3918290073,2946710.1738354168
Lefnui,,,"""fifth""",,,Lefnui,,,,427946.74127699999,,Rivers,,3271048.0406559343,1966716.6789347867
Lhûn,,,,Lune,,"Lhûn (not valid Sindarin); Sîr Luin (""Blue River"")",,,"Lhûn (Noldorin, ""Blue"")",381987.77970299998,,Rivers,,2914412.4135934589,2947008.7115848879
Limlight,,,Limlight,,,,,,"Limlaith; Limlich; Limliht; Limhîr",238665.09316799999,,Rivers,,3698982.3533634585,2414242.1287257867
Little Lune,,,Little Lune,,,,,,,88379.23358700000,,Rivers,,2863955.1288943593,3020529.4549514111
Morgulduin,,,"""black magic river""",,,Morgulduin,,,,89356.74837820002,,Rivers,,4021458.1115715527,1975249.9105248812
Morthond,,,Blackroot,,,Morthond,,,,265595.07848400000,,Rivers,,3559381.4837609981,1989606.3636059361
Norbourn,,,Norbourn,,,,,,,45521.60476130000,,Rivers,,3087048.2146240040,2746514.7356114285
Poros,,,,,,,,,Poros (unknown),210303.78000100001,,Rivers,,3948657.7383950390,1761338.5320752764
Rhimdath,,,Rushdown,,,,,,Rhimdath (Noldorin),54768.09671150000,,Rivers,,3770757.3424620554,2860208.2731491728
Ringló,,,"""cold fenland""",,,Ringló,,,,281073.43533399998,,Rivers,,3690885.3546709958,1946555.8477993500
River Running,,,River Running,,,Celduin,,,,627965.58992000006,,Rivers,,4239171.3996762792,2714954.0284465812
Serni,,,"""stony""",,,Serni,,,,190704.49252999999,,Rivers,,3808627.1738168416,1863237.8127394901
Shirebourn,,,"Shirebourn; ""River of the Shire""; ""Bright-stream""",,,,,,Scirburna (Old Hobbitish),71531.90542980000,,Rivers,,3096701.6144733918,2680237.3120341091
Sirith,,,"""a flowing""",,,Sirith,,,,149353.07440600000,,Rivers,,3882170.5620567319,1897585.1610605835
Celos,,,"""flow out swiftly""",,,Celos,,,,84260.60051020002,,Rivers,,3857286.2757686810,1945172.1832330725
The Water,,,"The Water; the Shire-water",,,,,,,135313.34515700000,,Rivers,,3074876.1358724213,2738408.5819971310
Withywindle,,,"Withywindle; ""willow spindle/reel""",,,,,,Withigwindel (Old Hobbitish),51812.54175410000,,Rivers,,3143268.2472863542,2689902.5627441504
Adorn,,,,,,,,,Adorn (pre-Númenórean origin),212357.38475000000,,Rivers,,3385547.1565331817,2150935.9192626434
Entwash,,,Entwash,,,Onodló,,Entwaesc,,713000.36503300001,,Rivers,,3758538.5123652657,2177900.6061810288
Isen,,,"""Iron""",,,"Sîr Angren (""iron river"")",,Isen,,499981.70658699999,,Rivers,,3335529.2629019907,2201380.8456991650
Mering Stream,,,"""Boundary stream""",,,Glanhír,,Mering [Stream],,101208.25103499999,,Rivers,,3798845.3925243313,2097261.5347252814
Snowbourn,,,Snowbourn,,,,,Snāwburna,,127086.45164600000,,Rivers,,3623646.7406712594,2146174.3089282410
Deeping-stream,,,Deeping-stream,,,,,,,197406.08727399999,,Rivers,,3579471.4618155458,2214667.3410798595
Sirannon,,,Gate Stream,,,Sirannon,,,,236928.97398000001,,Rivers,,3521468.9396629846,2496248.3099632049
Stock-brook,,,"Stock-brook; ""the brook running through Stock""",,,,,,Se Stocbroc (Old Hobbitish),26023.27176430000,,Rivers,,3119155.5110820071,2704558.0007458772
Thistle Brook,,,Thistle Brook,,,,,,,29114.99210540000,,Rivers,,3096470.6582647120,2682733.2636070000
Forest River,,,Forest River,,,,,,,328204.06257700000,,Rivers,,3946801.8084684056,2903616.4312510155
Gladden River,,,Gladden River,,,"Sîr Ninglor (""River Goldwater"")",,,,146156.23722499999,,Rivers,,3723473.0786694526,2714227.3729685661
Great East Road,Major road,,"East Road; East-West Road; Great East Road; Old Road",,,,,,,930327.50777999999,,Roads,East Road,3343871.9017174346,2744545.6094126967
The Greenway,Road,,"Greenway; North-South Road; Great Road; Royal Road",,,,,,,259735.43446799999,,Roads,Greenway,3102510.7123787543,2608816.7203998230
North-South Road,Major road,,"North-South Road; Great Road; Royal Road; Greenway; Old South Road; Great West Road; South Road",,,,,,,1448653.98509000009,,Roads,North-South Road,3548167.0449148435,2245658.3094042153
Great West Road,Road,,Great West Road,,,,,,,640238.55790300004,,Roads,Great West Road,3727401.0604526582,2097200.0877636080
South Road,Road,,"South Road; North-South Road; Great Road; Royal Road",,,,,,,148164.43476599999,,Roads,South Road,3927758.9584214464,1893987.4909492859
Morgul Road,Road,,Morgul Road,,,,,,,317890.99809100002,,Roads,Morgul Road,4057804.1762443255,2028342.9095937463
Gorgoroth Road,Road,,Gorgoroth Road,,,,,,,248892.75373000000,,Roads,Gorgoroth Road,4127526.8917117934,2041910.2037396072
Harad Road,Road,,Harad Road,,,,,,,631533.30721300002,,Roads,Harad Road,4008623.0536442129,1693136.5356804398
Sauron's Road,Road,,Sauron's Road,,,,,,,49231.85172920000,,Roads,Sauron's Road,4142487.1526008290,2030873.9900993288
Bywater Road,Road,,Bywater Road,,,,,,,93605.80793729999,,Roads,Bywater Road,3042352.2668608190,2725947.1491063917
Causeway,Road,,Causeway,,,,,,,44817.56715260000,,Roads,Causeway,3124191.6227912996,2706334.0500680949
Bagshot Row,Road,,"Bagshot Row; New Row",,,,,,,8095.46989406000,,Roads,Bagshot Row,3075407.5082712686,2730387.0438028038
Elf-path,Pathway,,Elf-path,,,,,,,240598.12394399999,,Roads,Elf-path,3923476.6541394391,2859403.6761614708
Stock Road,Road,,Stock Road,,,,,,,71469.68395140000,,Roads,Stock Road,3095885.1115146838,2708748.3599244459
Northway,Road,,Northway,,,,,,,51718.95803360000,,Roads,Northway,3097494.4979164223,2746353.8231224520
unnamed road durthang-morgul pass,Road,,Morgul Road,,,,,,,120865.85408300000,,Roads,Morgul Road,4050948.8954018098,2038018.1322688577
Dimrill Stair,Pass,,Dimrill Stair,,,,,,,7080.70696865000,,Roads,Dimrill Stair,3671873.5232342961,2542953.6331701162
Ferry Lane,Road,,Ferry Lane,,,,,,,1840.17143076000,,Roads,Ferry Lane,3125280.8753458485,2705762.5289155021
Gateway,Road,,Gateway,,,,,,,203.30576294100,,Roads,Gateway,3958031.5734015489,1953211.8508566152
Old Forest Road,Road,,"Old Forest Road; Forest Road",,,"Men-i-Naugrim (""Road of the Dwarves"")",,,,373682.14185199997,,Roads,Old Forest Road,3947520.4748000079,2767420.1115714093
South Lane,Lane,,South Lane,,,,,,,391.61978878100,,Roads,South Lane,3079618.2605132088,2726194.5112518203
Hill Road,Road,,Hill Road,,,,,,,13805.16112700000,,Roads,Hill Road,3079432.4476349172,2732037.2934373403
Hobbiton Road,Road,,Hobbiton Road,,,,,,,4683.69190971000,,Roads,Hobbiton Road,3080061.6081042979,2726165.1197602809
Deeping-road,Road,,Deeping-road,,,,,,,48782.71209420000,,Roads,Deeping-road,3482056.5057754223,2194289.3857606621
Paths of the Dead,Pass,,"Paths of the Dead; Dwimorberg Pass",,,,,,,64197.87406260000,,Roads,Paths of the Dead,3581516.1897687581,2088832.3012616199
Unnamed Gondor road,Road,,"South Road; North-South Road; Great Road; Royal Road",,,,,,,590052.57559300005,,Roads,South Road,3761219.3184527294,1884027.5982843735
Causeway,Road,,"South Road; North-South Road; Great Road; Royal Road",,,,,,,28097.72741800000,,Roads,South Road,3974812.3639732311,1961797.6392564999
Lampwrights' Street,Street,,Lampwrights' Street,,,Rath Celerdain,,,,1491.44172715000,,Roads,Lampwrights' Street,3957364.4076767657,1952733.8370897961
Old South Road,Road,,"Old South Road; North-South Road; Great Road; Royal Road",,,,,,,324966.60267400002,,Roads,Old South Road,3381661.7075590026,2344862.2598567237
Rath Dínen,Street,,"""Silent Street""",,,Rath Dínen,,,,560.57454194300,,Roads,Rath Dínen,3954905.5379708465,1953631.4633834371
Stair of the Hold,Road,,Stair of the Hold,,,,,,,4580.85616569000,,Roads,Stair of the Hold,3579408.5218003164,2121928.1635483042
Straight Stair,Stair,,"Straight Stair; Stairs of Cirith Ungol",,,,,,,18409.55319710000,,Roads,Straight Stair,4047526.6545053418,1985322.4578822840
Winding Stair,Stair,,"Winding Stair; Stairs of Cirith Ungol",,,,,,,20251.03137760000,,Roads,Winding Stair,4063953.6152503905,1986493.7804541287
Under-way,Passage,,Under-way,,,,,,,729.46895993700,,Roads,Under-way,4070666.3429955682,1988100.2658046193
Southward Road,Road,,Southward Road,,,,,,,197260.44306300001,,Roads,Southward Road,4018246.3774426375,2077541.6218810717
unnamed Shire road through Longbottom,,,,,,,,,,63293.57644320000,,Roads,,3063870.7086181012,2646895.4831938650
unnamed Shire road to Pincup,,,,,,,,,,55478.46133810000,,Roads,,3069890.0395742711,2671731.5278890273
unnamed Shire road,,,,,,,,,,49845.71720630000,,Roads,,3116625.6807029531,2743774.5179268024
unnamed Shire road to Tookbank,,,,,,,,,,7331.07065496000,,Roads,,3053946.1432206780,2703340.2803295287
unnamed Shire road,,,,,,,,,,35686.99921940000,,Roads,,3117518.0032846406,2755632.4104431844
unnamed Shire road,,,,,,,,,,58165.07301790000,,Roads,,3067365.5317743849,2760107.6473806561
unnamed Shire road,,,,,,,,,,92146.51908450000,,Roads,,2989148.1276380778,2732133.9957647789
unnamed Shire road,,,,,,,,,,37003.89141340000,,Roads,,3038077.6756596835,2714495.3628533892
unnamed Shire road,,,,,,,,,,24904.08642640000,,Roads,,3036187.8341871351,2733954.1673960229
unnamed Shire road,,,,,,,,,,49743.95849590000,,Roads,,3023308.4392856299,2750573.1142548216
unnamed Shire road,,,,,,,,,,78031.57400420000,,Roads,,3057680.0369473742,2794121.2439082712
unnamed Shire road,,,,,,,,,,40058.70341870001,,Roads,,3092828.3310319684,2791267.2090935828
unnamed Shire road,,,,,,,,,,31572.16362560000,,Roads,,3017960.9079647339,2730587.8650474665
unnamed Shire road,,,,,,,,,,17483.10512480000,,Roads,,3110826.9232722018,2681705.4876365326
City Wall,Wall,,City Wall,,,Othram,,,,12847.17302180000,,Walls,,3956071.8478475809,1953385.5387253831
Deeping Wall,Wall,,Deeping Wall,,,,,,,72.90251418060,,Walls,,3494071.8832567865,2199939.7171588293
Helm's Dike,Wall,,Helm's Dike,,,,,,,1624.15639078000,,Walls,,3494347.3054764727,2199980.6882374692
High Hay,Hedge,,"High Hay; The Hedge",,,,,,,53756.06852930000,,Walls,,3134089.6965828757,2704552.4911940610
Rammas Echor,Wall,,"""Great-wall Circle""",,,"Rammas Echor; the Rammas",,,,60165.48480020000,,Walls,,3965333.2615342815,1960769.2353019535
Ring of Isengard,Wall,,Ring of Isengard,,,,,,,16276.99549840000,,Walls,,3490340.9955958482,2297164.0845018495
Brandywine Bridge,,,"Brandywine Bridge; Bridge of Stonebows",,,i Varanduiniant,,,,,,Bridges,,3136528.0200942531,2726530.9523464330
Bridge of Khazad-dûm,,,"Bridge of Khazad-dûm; Durin's Bridge",,,,,,,,,Bridges,,3670861.1072279215,2546448.4895930961
Bridge of Nimrodel,,,Bridge of Nimrodel,,,,,,,,,Bridges,,3686834.7367982119,2503844.9866068363
Bridge of Tharbad,,,Bridge of Tharbad,,,,,,,,,Bridges,,3264987.5181461871,2444617.0070574358
Ethring,,,"""across [the Ringló river]""",,,Ethring,,,,,,Bridges,,3690667.6749671991,1937242.1728856748
Last Bridge,,,Last Bridge,,,,,,,,,Bridges,,3444604.6828761250,2731893.3454636298
Bag End,Building,"Bilbo, Frodo, Hobbits",Bag End,"Laban-neg; Labin-nec",,,,,,,,Buildings,,3071612.3109812140,2731342.7141542807
White Towers,Tower,Elves,White Towers,,,,,,,,,Buildings,,2896165.3671647385,2719423.8539164588
All-Welcome Inn,Inn,Hobbits,All-Welcome Inn,,,,,,,,,Buildings,,3097472.1841239482,2721940.6324021257
Elostirion,Tower,Elves,,,,Elostirion,,,,,,Buildings,,2888358.4419499785,2716728.5936601758
Bridge Inn,Inn,Hobbits,Bridge Inn,,,,,,,,,Buildings,,3134388.6063464582,2725969.8952387981
Green Dragon,Inn,Hobbits,Green Dragon,,,,,,,,,Buildings,,3082041.3224643022,2725261.1597554758
The Floating Log,Inn,Hobbits,The Floating Log,,,,,,,,,Buildings,,3104990.5355862156,2723842.0300891027
The Golden Perch,Inn,Hobbits,The Golden Perch,,,,,,,,,Buildings,,3126436.2036556527,2711240.3850636892
The Prancing Pony,Inn,"Bree-men, Hobbits, Barliman Butterbur, Nob, Bob",The Prancing Pony,,,,,,,,,Buildings,,3192523.9366757423,2733920.9896298237
Barad-dûr,Tower,"Sauron, Nazgûl, Orcs","""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),,,Buildings,,4159292.4814183111,2047241.5692766644
Durin's Tower,Tower,"Dwarves (originally); uninhabited (during the War of the Ring)",Durin's Tower,,,,,,,,,Buildings,,3597794.0967568159,2517370.0510802269
Orthanc,Tower,"Dúnedain, Gondorians, Saruman (during the War of the Ring)","""Mount Fang"" (Sindarin); ""Cunning Mind"" (Old English/Rohirric)",,,Orthanc,,Orthanc,,,,Buildings,,3490290.5864549354,2297063.8571488559
Narchost,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)","""bitter-biting fort""",,,Narchost,,,,,,Buildings,,4048715.7697223648,2156156.9121461213
Carchost,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)","""fang fort""",,,Carchost,,,,,,Buildings,,4054462.7564762458,2156397.8466064557
Tower of Cirith Ungol,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)","""Spider's cleft""",,,Cirith Ungol,,,,,,Buildings,,4071018.3694507256,1988072.4219175801
Tower of Ecthelion,Tower,Gondorians,"Tower of Ectelion; White Tower; Tower of Denthor",,,,,,,,,Buildings,,3956292.9361377726,1953692.7304774483
Beorn's Hall,Building,Beorn (Man),Beorn's Hall,,,,,,,,,Buildings,,3818858.3234633952,2821650.7534870245
Brandy Hall,Building,Hobbits,Brandy Hall,,,,,,,,,Buildings,,3134628.6352069452,2708285.0223502256
Chamber of Mazarbul,Building,"Balin; Dwarves; uninhabited during the War of the Ring","Chamber of ""records""",,,,Chamber of Mazarbul,,,,,Buildings,,3638291.0152898799,2583908.7100260854
Cracks of Doom,Building,Sauron,Cracks of Doom,,,Sammath Naur,,,,,,Buildings,,4141664.5356203690,2031961.8878921345
Dome of Stars,Building,Gondorians,Dome of Stars,,,,,,,,,Buildings,,3988161.0639913823,1965615.2495146657
